Strain : Axial Gauge Length (Strain Source),2,in,
Strain : Time at Removal (Strain Source),,ms,
,,,
Time,Extension,Load,Strain 1
(sec),(in),(lbf),(%)
60.1,0.10017,"9,551.34",1.00744
60.2,0.10033,"9,552.66",1.01479
60.3,0.10049,"9,553.34",1.02212
60.4,0.10067,"9,555.40",1.02948
60.5,0.10083,"9,556.36",1.03682
60.6,0.101,"9,558.35",1.04422
60.7,0.10117,"9,559.96",1.05158
60.8,0.10133,"9,560.43",1.05896
60.9,0.1015,"9,563.11",1.0664
61,0.10166,"9,563.80",1.07371
61.1,0.10183,"9,565.27",1.08101
61.2,0.102,"9,567.55",1.08865
61.3,0.10217,"9,568.14",1.09589
61.4,0.10233,"9,569.87",1.10328
61.5,0.1025,"9,570.39",1.11067
61.6,0.10267,"9,572.07",1.11797
61.7,0.10283,"9,574.19",1.12548
61.8,0.103,"9,575.19",1.13271
61.9,0.10317,"9,577.07",1.14015
62,0.10333,"9,577.20",1.14752
62.1,0.1035,"9,579.01",1.15471
62.2,0.10366,"9,580.90",1.16215
62.3,0.10383,"9,582.54",1.16957
62.4,0.104,"9,584.63",1.17699
62.5,0.10416,"9,584.66",1.18429
62.6,0.10433,"9,586.14",1.19159
62.7,0.1045,"9,587.78",1.19894
62.8,0.10466,"9,589.28",1.20646
62.9,0.10483,"9,591.37",1.21392
63,0.105,"9,592.20",1.22132
63.1,0.10517,"9,593.23",1.22877
63.2,0.10533,"9,594.34",1.2361
63.3,0.1055,"9,595.43",1.24349
63.4,0.10567,"9,597.72",1.251
63.5,0.10583,"9,598.44",1.25834
63.6,0.106,"9,600.17",1.26581
63.7,0.10616,"9,600.36",1.27312
63.8,0.10633,"9,601.69",1.28025
63.9,0.1065,"9,604.60",1.28792
64,0.10667,"9,605.13",1.29524
64.10001,0.10684,"9,607.51",1.30262
64.2,0.10699,"9,607.68",1.31007
64.3,0.10716,"9,608.66",1.31742
64.4,0.10733,"9,610.48",1.32466
64.5,0.1075,"9,612.40",1.33213
64.60001,0.10767,"9,614.60",1.33966
64.7,0.10783,"9,615.33",1.34711
64.8,0.108,"9,615.98",1.35447
64.9,0.10816,"9,617.40",1.36178
65,0.10833,"9,618.61",1.36922
65.10001,0.1085,"9,621.01",1.37673
65.2,0.10867,"9,622.01",1.38399
65.3,0.10883,"9,623.00",1.39144
65.4,0.109,"9,624.08",1.39883
65.5,0.10916,"9,625.04",1.40611
65.60001,0.10933,"9,627.61",1.41346
65.70001,0.1095,"9,628.27",1.42085
65.8,0.10967,"9,630.11",1.42836
65.9,0.10983,"9,630.54",1.43571
66,0.10999,"9,631.49",1.44293
66.10001,0.11016,"9,633.68",1.45042
66.20001,0.11033,"9,634.68",1.45774
66.3,0.1105,"9,636.51",1.46499
66.4,0.11066,"9,637.63",1.47241
66.5,0.11083,"9,638.41",1.47979
66.60001,0.111,"9,640.30",1.48714
66.70001,0.11116,"9,640.86",1.49439
66.8,0.11134,"9,643.41",1.5019
